#	좌표	path	줄수	군	문서 종류	정독 등급	정독 주체	청크 경계	배정 Step	재참조	판독 참조(R#)	검수 대조	비고
1	00 구트랙 RB	Claude/old/plans/2026-05-27-anode-fit-chapter1-rebuild-master-roadmap.md	780	(i-b)	마스터플랜	①전문	작업 sub(직렬)	1–780	1.2 Step 3	—	—	①: 전문 정독 + 검수 sub 근거 행 전건 대조	OUT-INV: 구트랙(old/) · glob `*master*` 매치(L305 ①군)
2	00 구트랙 RB	Claude/old/v2/plans/MASTER_ROADMAP_v2.md	447	(i-b)	마스터플랜	①전문	작업 sub(직렬)	1–447	1.2 Step 3	—	—	①: 전문 정독 + 검수 sub 근거 행 전건 대조	OUT-INV: 구트랙(old/v2 = 구트랙 "Chapter 1 Rebuild v2" — Fable v2 와 동명이물, `old/v2/results/EXECU
3	00 구트랙 RB	Claude/old/plans/2026-05-27-anode-fit-chapter1-rebuild-from-scratch-plan-SUPERSEDED.md	44	(i-b)	세부 계획서	②토픽 한정	작업 sub(직렬)	1–44	1.2 Step 3	—	—	②: 구조 추출 + 근거 절 정독 + 검수 sub 근거 행 대조	OUT-INV: 구트랙(old/) · 파일명 SUPERSEDED
4	00 구트랙 RB	Claude/old/plans/2026-05-27-anode-fit-chapter1-rebuild-from-scratch-plan.md	436	(i-b)	세부 계획서	②토픽 한정	작업 sub(직렬)	1–436	1.2 Step 3	—	—	②: 구조 추출 + 근거 절 정독 + 검수 sub 근거 행 대조	OUT-INV: 구트랙(old/)
5	00 구트랙 RB	Claude/old/plans/2026-05-27-anode-fit-chapter1-rebuild-phase-e0-charter-plan.md	172	(i-b)	세부 계획서	②토픽 한정	작업 sub(직렬)	1–172	1.2 Step 3	—	—	②: 구조 추출 + 근거 절 정독 + 검수 sub 근거 행 대조	OUT-INV: 구트랙(old/)
6	00 구트랙 RB	Claude/old/plans/2026-05-27-anode-fit-chapter1-rebuild-phase-e1-spine-plan.md	102	(i-b)	세부 계획서	②토픽 한정	작업 sub(직렬)	1–102	1.2 Step 3	—	—	②: 구조 추출 + 근거 절 정독 + 검수 sub 근거 행 대조	OUT-INV: 구트랙(old/)
7	00 구트랙 RB	Claude/old/plans/2026-05-27-anode-fit-chapter1-rebuild-phase-e2-intro-notation-plan.md	117	(i-b)	세부 계획서	②토픽 한정	작업 sub(직렬)	1–117	1.2 Step 3	—	—	②: 구조 추출 + 근거 절 정독 + 검수 sub 근거 행 대조	OUT-INV: 구트랙(old/)
8	00 구트랙 RB	Claude/old/plans/2026-05-27-anode-fit-situational-assessment-plan.md	293	(i-b)	세부 계획서	②토픽 한정	작업 sub(직렬)	1–293	1.2 Step 3	—	—	②: 구조 추출 + 근거 절 정독 + 검수 sub 근거 행 대조	OUT-INV: 구트랙(old/)
9	00 구트랙 RB	Claude/old/plans/2026-05-28-anode-fit-chapter1-rebuild-phase-e3-effective-transition-plan.md	107	(i-b)	세부 계획서	②토픽 한정	작업 sub(직렬)	1–107	1.2 Step 3	—	—	②: 구조 추출 + 근거 절 정독 + 검수 sub 근거 행 대조	OUT-INV: 구트랙(old/)
10	00 구트랙 RB	Claude/old/plans/2026-05-28-anode-fit-chapter1-rebuild-phase-e4-charge-balance-plan.md	161	(i-b)	세부 계획서	②토픽 한정	작업 sub(직렬)	1–161	1.2 Step 3	—	—	②: 구조 추출 + 근거 절 정독 + 검수 sub 근거 행 대조	OUT-INV: 구트랙(old/)
