"version","relative_path","extension","snapshot_sha256","local_sha256","status","content_relation"
"v1.0.10","__pycache__/Anode_Fit_v1.0.10.cpython-312.pyc",".pyc",,"d6882254703f38e48d3d7ce8509a7ebd8a3f6403e58b7d91ffdb4fd1c2af4f4b","LOCAL_ONLY","LOCAL_ONLY"
"v1.0.10","Anode_Fit_v1.0.10.py",".py","19e9c2be56d32fb638ea3ceece3369111781bb86a5edb7bd660b2806df373a2b","f09e6e72aee0709351a506d44d138cc5a837de34fdaebb21b579de140e347542","DIFF","EOL_OR_ENCODING_ONLY"
"v1.0.10","demo_lco_heat.py",".py","21080f7f9676743d94089609d783b7439a62f3a8ea73f86f81e9af74fbb2c806","f8636a7fe73e8e690c659c1abaaa42c924e007a908a8960639d765d6eba94272","DIFF","EOL_OR_ENCODING_ONLY"
"v1.0.10","figs/anode_fit_v1_0_10_dqdv.png",".png","bbd520bbb311d6146e6effdc3a61a2c6f2c150c47eef51f55515958ba690c66a","bbd520bbb311d6146e6effdc3a61a2c6f2c150c47eef51f55515958ba690c66a","MATCH","BYTE_MATCH"
"v1.0.10","figs/Anode_Fit_v1.0.10_sample_test.png",".png","e8de3b853a78153be67d99b31c5dc1cb3f5c7eb7a2b96dcb75f41024e683cb7a","e8de3b853a78153be67d99b31c5dc1cb3f5c7eb7a2b96dcb75f41024e683cb7a","MATCH","BYTE_MATCH"
"v1.0.10","figs/P4_lco_heat_validation.png",".png","6451a591c717138eb425800fd039d32be55b942af052344f43822a1be5fce76d","6451a591c717138eb425800fd039d32be55b942af052344f43822a1be5fce76d","MATCH","BYTE_MATCH"
"v1.0.10","figs/P5_graph_suite.png",".png","273f7f0d8911811aee763d8bf853be872261c4c59251b84c5c4bde7bc58ae821","273f7f0d8911811aee763d8bf853be872261c4c59251b84c5c4bde7bc58ae821","MATCH","BYTE_MATCH"
"v1.0.10","FITTING_GUIDE.md",".md","1453f306d7d56c1df2c4270ad5016b6457a8bcb9e550e1fafa9e1e61be515b16","4b314f0b68c4ff1d5b5f07fbec79a296de20962c9b8a9da064618ec60553dff8","DIFF","EOL_OR_ENCODING_ONLY"
"v1.0.10","graph_suite_p5.py",".py","5684555ed67b7e8e6a4f2a16518ed5a837504ba62909a7a70fa07a1028432af9","a6674b4012dd107463502b09b68dc2036be0cd93898f6b41d69129a980352939","DIFF","EOL_OR_ENCODING_ONLY"
"v1.0.10","graphite_ica_ch1_v1.0.10.aux",".aux",,"0289977812ba54e1b8dec35b3a4a112c7aa561525a30240be0e50f642fa11389","LOCAL_ONLY","LOCAL_ONLY"
"v1.0.10","graphite_ica_ch1_v1.0.10.log",".log",,"3cb56aa6cc0b461538565def7b20da9e85c1c85845af101f23113fdb7e9eda92","LOCAL_ONLY","LOCAL_ONLY"
"v1.0.10","graphite_ica_ch1_v1.0.10.out",".out",,"215c9a4d0d9ebf43f19510926eaf779ba9ed810bf8c662316881985d49ae35a3","LOCAL_ONLY","LOCAL_ONLY"
"v1.0.10","graphite_ica_ch1_v1.0.10.pdf",".pdf","92f773d86a4e33a8e26b77f841aa0ed79b1c9b42cd0ca146e5a250d577f0d4b7","92f773d86a4e33a8e26b77f841aa0ed79b1c9b42cd0ca146e5a250d577f0d4b7","MATCH","BYTE_MATCH"
"v1.0.10","graphite_ica_ch1_v1.0.10.tex",".tex","dc53b0df2033ea536bdbcb119b0047be40cad1a033c3c283c878d895fa91de5c","583b8cd3dc82e66b015cb65b52896640ebb509fc7ac30fc7ffdcec18ec725550","DIFF","EOL_OR_ENCODING_ONLY"
"v1.0.10","graphite_ica_ch1_v1.0.10.toc",".toc",,"bfef2e1eb310d36a972865a886ab71b7cd7dac97af9092b805ce44c31496313c","LOCAL_ONLY","LOCAL_ONLY"
"v1.0.10","graphite_ica_ch2_v1.0.10.aux",".aux",,"507268fcfa408c644bf7d5f0f849a58bcfc872b5b348d4267c7ca1af86bfa32f","LOCAL_ONLY","LOCAL_ONLY"
"v1.0.10","graphite_ica_ch2_v1.0.10.log",".log",,"f0bd16486ba54abc7502ed04c60ef546d64e578ae18cc3b646f580af29f3573a","LOCAL_ONLY","LOCAL_ONLY"
"v1.0.10","graphite_ica_ch2_v1.0.10.out",".out",,"56564bf0d416a2c453c9360fad8b6cf7637a1bcf6018abeb7635e0fe8665d49c","LOCAL_ONLY","LOCAL_ONLY"
"v1.0.10","graphite_ica_ch2_v1.0.10.pdf",".pdf","cfe892f752ca9b195bcfd67d319a3900ab0955d22cbc6383974d168221d1aeb5","cfe892f752ca9b195bcfd67d319a3900ab0955d22cbc6383974d168221d1aeb5","MATCH","BYTE_MATCH"
"v1.0.10","graphite_ica_ch2_v1.0.10.tex",".tex","e7d3b6919f7f20e7a0083048aeb101d96b69908fbc55b2a8542b76a043ef322e","de6c18827a5f7b9d828e0257cd7347252617a658cb2682dce85009f4e36c2262","DIFF","EOL_OR_ENCODING_ONLY"
"v1.0.10","HANDOVER_v1.0.11.md",".md","c579256cc921d9e49bf8b5099299bea3fba8d7c183b2591df3873f3bdcf98515","27597278dcfd9a7fdda8b65c855a5d6810b2e34d55c0e13a32a0abcbb32f77c4","DIFF","EOL_OR_ENCODING_ONLY"
"v1.0.10","plot_dqdv.py",".py","f5db6d1be367903129b8c989d4d1bc50b60a80154e88d0fb22b87a87efca0ccd","97abab86473f41bfde44dbe11361e00885442d7bbdc43307ed84e96ed7374c75","DIFF","EOL_OR_ENCODING_ONLY"
"v1.0.10","sample_test_v1010.py",".py","6de921e191cf423a940da6f02ea00372a7221df7447104e950cd229f77f05a6b","20992fc7154dfc530e3f2471e0473aed75ee9b6d2cd44764bc8071eb5ca33ca3","DIFF","EOL_OR_ENCODING_ONLY"
